Id,ClusterId,Description,Type,Language,LastUpdated,PublicationDate,CreatedDate,FirstReported,Publisher,NoDocuments,SourceUrl,SilobreakerUrl
5_2275522075034648576,16_2275519998938054664,"COVID-19: Florida reports 10,000 new cases, 184 hospitalizations",News,en,2021-01-03T20:21:33Z,2021-01-03T20:21:33Z,2021-01-03T20:47:12Z,2021-01-03T20:21:33Z,Click Orlando - News Headlines - RSS,1,https://www.clickorlando.com/news/local/2021/01/03/covid-19-florida-reports-10000-new-cases-184-hospitalizations/,https://my.silobreaker.com/5_2275522075034648576
5_2275801305337299061,16_2275801305337298993,"Manatee County COVID update: Two more resident deaths, 66 new cases",News,en,2021-05-02T19:43:00Z,2021-05-02T19:43:00Z,2021-05-02T19:44:44Z,2021-05-02T19:43:00Z,Bradenton Herald,1,https://www.bradenton.com/news/coronavirus/article251110559.html,https://my.silobreaker.com/5_2275801305337299061
5_2275776977568792782,16_2275776977568792682,Friday's COVID-19 update: 181 new cases and 5 new deaths documented in Guilford County,News,en,2021-04-23T17:42:00Z,2021-04-23T17:42:00Z,2021-04-23T18:14:05Z,2021-04-23T17:42:00Z,Greensboro.com,1,https://greensboro.com/news/local/fridays-covid-19-update-181-new-cases-and-5-new-deaths-documented-in-guilford-county/article_01eb27bc-a457-11eb-abed-fb6c3c81b16f.html,https://my.silobreaker.com/5_2275776977568792782
5_2275812409975242844,16_2275812409975242788,"Warren County reports 58 new cases of COVID-19, one new death in the last week",News,en,2021-05-07T21:17:00Z,2021-05-07T21:17:00Z,2021-05-07T21:19:38Z,2021-05-07T21:17:00Z,Des Moines Register,2,https://www.desmoinesregister.com/story/news/local/indianola/2021/05/07/warren-county-iowa-covid-19-cases-and-related-deaths-update/4921818001/,https://my.silobreaker.com/5_2275812409975242844
5_2275669380584964100,16_2275667170287419448,"Florida COVID update for Saturday: 4,690 new cases, 98 deaths. Positivity dips below 5%",Blog,en,2021-03-06T19:58:32Z,2021-03-06T19:58:32Z,2021-03-06T21:40:46Z,2021-03-06T19:58:32Z,Linux/Open Source News Headlines - Yahoo! News,2,https://news.yahoo.com/florida-covid-saturday-4-690-195832216.html,https://my.silobreaker.com/5_2275669380584964100
5_2275749526117548033,,prchovanec - It is worth noting that 2 of the 3 states with the highest number of new cases (Michigan and Florida) also have the… https://t.co/dPYRxvsw6k,Tweet,en,2021-04-11T02:11:54Z,2021-04-11T02:11:54Z,2021-04-11T02:12:18Z,2021-04-11T02:11:54Z,prchovanec - Twitter,1,https://twitter.com/prchovanec/status/1381067452222693380,https://my.silobreaker.com/5_2275749526117548033
5_2275854226850578587,16_2275853488116203642,Two More COVID Cases Reported In Cleveland County,News,en,2021-05-26T21:50:00Z,2021-05-26T21:50:00Z,2021-05-26T22:03:28Z,2021-05-26T21:50:00Z,Cleveland County Herald,1,http://www.clevelandcountyherald.com/2021/05/26/two-more-covid-cases-reported-in-cleveland-county/,https://my.silobreaker.com/5_2275854226850578587
5_2275200687262400512,16_2275198761154117725,"BY THE NUMBERS: Florida Is Open, New York Is Closed, And The Latter Has More COVID Deaths. It’s a…",Blog,en,2020-12-17T15:33:53Z,2020-12-17T15:33:53Z,2020-12-17T16:32:00Z,2020-12-17T15:33:53Z,Instapundit,1,https://pjmedia.com/instapundit/420733/,https://my.silobreaker.com/5_2275200687262400512
5_2275748014926594048,,"prchovanec - According to CDC, 39.0% of new cases in Michigan are attributed to the B.1.1.7 variant of COVID-19, a more transmis… https://t.co/TNkVXeAY5A",Tweet,en,2021-04-10T12:12:28Z,2021-04-10T12:12:28Z,2021-04-10T12:12:59Z,2021-04-10T12:12:28Z,prchovanec - Twitter,1,https://twitter.com/prchovanec/status/1380856202171723783,https://my.silobreaker.com/5_2275748014926594048
5_2275818576625532933,16_2275816859561361436,"COVID In Florida: 2,296 New Cases, 53 Additional Deaths Reported Monday",News,en,2021-05-10T15:00:09Z,2021-05-10T15:00:09Z,2021-05-10T19:38:35Z,2021-05-10T15:00:09Z,CBS Miami,2,https://miami.cbslocal.com/2021/05/10/covid-in-florida-2296-new-cases-53-additional-deaths-reported-monday/,https://my.silobreaker.com/5_2275818576625532933
